SOURCE,CCCCRIMELABEL,CCCDESCRIP,CCC_LABELDES,NIBRSKEYWORDMATCH,NIBRSOFFENSE,NIBRSAORB,NIBRSCLASSIFICATION,MATCH CORRECTED,MATCHKEYWORD
CCC,BURNING W/O PRM,Burning without permit,BURNING W/O PRM Burning without permit,ARSON,ARSON,A,PROPERTY,1,1
CCC,WOODLAND FIRES,unlawful starting of woodland fires,WOODLAND FIRES unlawful starting of woodland fires,ARSON,ARSON,A,PROPERTY,1,1
CCC,ABUSE DIS ADULT,abusing disabled adult or elder person,ABUSE DIS ADULT abusing disabled adult or elder person,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,AGG ASSAULT OFC,aggravated assault upon a public safety officer,AGG ASSAULT OFC aggravated assault upon a public safety officer,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,ASSAULT AGG OFC,assault-aggravated upon a peace officer,ASSAULT AGG OFC assault-aggravated upon a peace officer,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,ASSAULT PUB TRA,simple assault in public transit vehicle/station,ASSAULT PUB TRA simple assault in public transit vehicle/station,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,ASSAULT UNBORN,assault on an unborn child,ASSAULT UNBORN assault on an unborn child,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,ASSAULT W/INTEN,assault w/intent to commita crime,ASSAULT W/INTEN assault w/intent to commita crime,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,ASSAULT-AGGRAV,assault aggravated,ASSAULT-AGGRAV assault aggravated,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,ASSAULT-AGGRAVA,assault-aggravated,ASSAULT-AGGRAVA assault-aggravated,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,ASSAULT-SIMPLE,assault-simple,ASSAULT-SIMPLE assault-simple,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,BATT-FAM VIOL 1,battery-family violence,BATT-FAM VIOL 1 battery-family violence,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,SEX ASSAULT AUT,sexual assault by persons with various authorities,SEX ASSAULT AUT sexual assault by persons with various authorities,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,SEX ASSAULT CUS,sexual assault person in custody/hospital/patient,SEX ASSAULT CUS sexual assault person in custody/hospital/patient,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,SEX ASSAULT HOS,sexual assault hospital or institution,SEX ASSAULT HOS sexual assault hospital or institution,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,SEX ASSAULT SCH,sexual assault person in custody/school,SEX ASSAULT SCH sexual assault person in custody/school,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,SEXUAL ASSAULT,sexual assault (in custody),SEXUAL ASSAULT sexual assault (in custody),ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,SIMP BATT/FAM V,battery-simple/family violence,SIMP BATT/FAM V battery-simple/family violence,ASSAULT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,STRANGULATION,aggravated assault by strangulation,STRANGULATION aggravated assault by strangulation,ASSAULT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,UNLAWFUL ASSEMB,unlawful assembly,UNLAWFUL ASSEMB unlawful assembly,ASSEMBLY,ASSEMBLY UNLAWFUL,B,OTHER,0,1
CCC,BAT UNBORN CHIL,battery of an unborn child,BAT UNBORN CHIL battery of an unborn child,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY,battery,BATTERY battery,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY 2ND,battery,BATTERY 2ND battery,BATT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,BATTERY FAMILY,battery-family violence,BATTERY FAMILY battery-family violence,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY MULTIPL,battery multiple against same victim,BATTERY MULTIPL battery multiple against same victim,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY PREGNAN,battery against a pregnant female,BATTERY PREGNAN battery against a pregnant female,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY PROVOKE,battery-physical contact/provoke,BATTERY PROVOKE battery-physical contact/provoke,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY SIMPLE,simple battery,BATTERY SIMPLE simple battery,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY-AGGRAV,aggravated battery,BATTERY-AGGRAV aggravated battery,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY-FAMILY,battery-family violence,BATTERY-FAMILY battery-family violence,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY-PATIENT,"battery against patient in home, hospice, etc.","BATTERY-PATIENT battery against patient in home, hospice, etc.",BATT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,BATTERY-SCHOOL,battery-school personnel,BATTERY-SCHOOL battery-school personnel,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY-SIMPLE,Battery-simple,BATTERY-SIMPLE Battery-simple,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATTERY-S-P.O.,battery-simple-on police officer,BATTERY-S-P.O. battery-simple-on police officer,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BATT-SCHOOL EMP,battery-simple against school system employee,BATT-SCHOOL EMP battery-simple against school system employee,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,SIMP BATT F/V,simple battery/family violence first offense,SIMP BATT F/V simple battery/family violence first offense,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,SIMPLE BATTERY,simple battery,SIMPLE BATTERY simple battery,BATT,ASSAULT OFFENSES,A,PERSON,0,1
CCC,SIMPLE/FAMILY V,simple assault-family violence,SIMPLE/FAMILY V simple assault-family violence,BATT,ASSAULT OFFENSES,A,PERSON,1,1
CCC,BESTIALITY,bestiality,BESTIALITY bestiality,BESTI,ANIMAL CRUELTY,A,SOCIETY,1,1
CCC,BIGAMY,bigamy,BIGAMY bigamy,BIGAMY,BIGAMY,B,OTHER,0,1
CCC,BRIBERY,bribery,BRIBERY bribery,BRIB,BRIBERY,A,PROPERTY,0,1
CCC,UNSEC BUILDING,unsecured abandoned or vacant building,UNSEC BUILDING unsecured abandoned or vacant building,BUILDING,"THEFT, LARCENY",A,PROPERTY,0,1
CCC,BURG VEH 2ND DE,burglary - vehicle 2nd degree,BURG VEH 2ND DE burglary - vehicle 2nd degree,BURGL,"BURGLARY, BURGLARY TOOLS POSSESSION",A,PROPERTY,1,1
CCC,BURGLARY,burglary,BURGLARY burglary,BURGL,"BURGLARY, BURGLARY TOOLS POSSESSION",A,PROPERTY,0,1
CCC,BURGLARY DWELLI,ent dwelling of anoth w/o auth with intent of fel,BURGLARY DWELLI ent dwelling of anoth w/o auth with intent of fel,BURGL,"BURGLARY, BURGLARY TOOLS POSSESSION",A,PROPERTY,0,1
CCC,BURGLARY-APT,burglary-apartment,BURGLARY-APT burglary-apartment,BURGL,"BURGLARY, BURGLARY TOOLS POSSESSION",A,PROPERTY,0,1
CCC,BURGLARY-RESID,burglary-residential,BURGLARY-RESID burglary-residential,BURGL,"BURGLARY, BURGLARY TOOLS POSSESSION",A,PROPERTY,0,1
CCC,BURNING,Burning Without a Permit,BURNING Burning Without a Permit,BURN,ARSON,A,PROPERTY,0,1
CCC,CARISOPRODOL,unlawfully obtaining carisoprodol,CARISOPRODOL unlawfully obtaining carisoprodol,CARD,GAMBLING OFFENSES,A,SOCIETY,0,1
CCC,BAD CHECK,bad check,BAD CHECK bad check,CHECK,FRAUD OFFENSES,A,PROPERTY,0,1
CCC,PROPERTY CHECK,property check,PROPERTY CHECK property check,CHECK,FRAUD OFFENSES,A,PROPERTY,0,1
CCC,FUGITIVE,fugitive,FUGITIVE fugitive,OTHER,OTHER,OTHER,OTHER,1,0
CCC,HATE CRIME,enhanced sent/intentionally select due to bias,HATE CRIME enhanced sent/intentionally select due to bias,OTHER,OTHER,OTHER,OTHER,1,0
CCC,SIZE LIMIT VIO,Size limit violation,SIZE LIMIT VIO Size limit violation,OTHER,OTHER,OTHER,OTHER,1,0
CCC,BICYCLE LIGHTS,lights on bicycle at night,BICYCLE LIGHTS lights on bicycle at night,OTHER,OTHER,OTHER,OTHER,1,0
CCC,COLOR IN LIGHT,color in lighting equipment,COLOR IN LIGHT color in lighting equipment,OTHER,OTHER,OTHER,OTHER,1,0
CCC,DIM HEADLIGHTS,failure to dim headlights,DIM HEADLIGHTS failure to dim headlights,OTHER,OTHER,OTHER,OTHER,1,0
CCC,DRIVE W/O LIGHT,driving without lights,DRIVE W/O LIGHT driving without lights,OTHER,OTHER,OTHER,OTHER,1,0
CCC,FAIL STOP/LIGHT,failure to stop/flashing lights,FAIL STOP/LIGHT failure to stop/flashing lights,OTHER,OTHER,OTHER,OTHER,1,0
CCC,FAIL TO DIM LIG,"Failure to dim lights-follow', 'Failure to dim lights-oncoming","FAIL TO DIM LIG Failure to dim lights-follow', 'Failure to dim lights-oncoming",OTHER,OTHER,OTHER,OTHER,1,0
CCC,FAIL TOWED LIGH,failure to have lights on towed vehicle,FAIL TOWED LIGH failure to have lights on towed vehicle,OTHER,OTHER,OTHER,OTHER,1,0
CCC,FAIL/FURNISH SA,Failure/furnish sales tax return,FAIL/FURNISH SA Failure/furnish sales tax return,OTHER,OTHER,OTHER,OTHER,1,0
CCC,INVALID REGIST,driving motor vehicle with invalid registration,INVALID REGIST driving motor vehicle with invalid registration,TRAFF,TRAFFIC VIOLATIONS,A OR B,OTHER,1,0
CCC,RIGHT OF WAY,right of way violation resulting in serious injury -,RIGHT OF WAY right of way violation resulting in serious injury -,OTHER,OTHER,OTHER,OTHER,1,0
CCC,VEH - LIGHTS,parked vehicle - light requirements,VEH - LIGHTS parked vehicle - light requirements,OTHER,OTHER,OTHER,OTHER,1,0
CCC,COMP INV PRIV,computer invasion of privacy,COMP INV PRIV computer invasion of privacy,TECH,COMPUTER CRIME,A OR B,OTHER,1,1
CCC,CONSP IN COMPET,conspiracy in restraint of free and open competition in state/politics,CONSP IN COMPET conspiracy in restraint of free and open competition in state/politics,OTHER,OTHER,OTHER,OTHER,1,0
CCC,COMPULSORY SCHO,Compulsory school attend,COMPULSORY SCHO Compulsory school attend,OTHER,OTHER,OTHER,OTHER,1,0
CCC,REFUSE TO COMPL,obedience to authorized persons directing traffic,REFUSE TO COMPL obedience to authorized persons directing traffic,OTHER,OTHER,OTHER,OTHER,1,0
CCC,CARRY A CONCEAL,Carry a concealed weapon,CARRY A CONCEAL Carry a concealed weapon,CONCEA,WEAPONS LAW VIOLATIONS,A,PROPERTY,0,1
CCC,CONCEALING DEAT,concealing death,CONCEALING DEAT concealing death,OTHER,OTHER,OTHER,OTHER,1,0
CCC,CONCEALING ID O,"concealing id of motor vehicle', 'concealing id of motor veh","CONCEALING ID O concealing id of motor vehicle', 'concealing id of motor veh",OTHER,OTHER,OTHER,OTHER,1,0
CCC,NO REAR ESCORT,No rear escort,NO REAR ESCORT No rear escort,OTHER,OTHER,OTHER,OTHER,1,0
CCC,WEAP-CARRY CONC,"possession and carrying concealed weapon without a license-misdemeanor', 'possession and carrying concealed weapon without a license- felony', 'weapon-carrying concealed', 'weapon-carrying concealed - expired 8/15/2010","WEAP-CARRY CONC possession and carrying concealed weapon without a license-misdemeanor', 'possession and carrying concealed weapon without a license- felony', 'weapon-carrying concealed', 'weapon-carrying concealed - expired 8/15/2010",CONCEA,WEAPONS LAW VIOLATIONS,A,PROPERTY,1,1
CCC,LIC VIOL COND,LICENSE VIOLATION OF COND OF PERMIT,LIC VIOL COND LICENSE VIOLATION OF COND OF PERMIT,CONDUC,DISORDERLY CONDUCT,B,OTHER,0,1
CCC,RECKLESS CONDUC,Reckless conduct,RECKLESS CONDUC Reckless conduct,CONDUC,DISORDERLY CONDUCT,B,OTHER,1,1
CCC,DIS CONDUCT,disorderly conduct,DIS CONDUCT disorderly conduct,CONDUC,DISORDERLY CONDUCT,B,OTHER,1,1
CCC,DIS CONDUCT FV,Disorderly Conduct Family Violence,DIS CONDUCT FV Disorderly Conduct Family Violence,CONDUC,DISORDERLY CONDUCT,B,OTHER,1,1
CCC,DISORD CONDUCT,disorderly conduct,DISORD CONDUCT disorderly conduct,CONDUC,DISORDERLY CONDUCT,B,OTHER,1,1
CCC,DISORDE CONDUCT,disorderly conduct,DISORDE CONDUCT disorderly conduct,CONDUC,DISORDERLY CONDUCT,B,OTHER,1,1
CCC,ALC LICENSE REQ,alcohol dealers license required,ALC LICENSE REQ alcohol dealers license required,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,1,1
CCC,CELL PHONE INTE,intercept cellular telephone communications,CELL PHONE INTE intercept cellular telephone communications,OTHER,OTHER,OTHER,OTHER,1,0
CCC,CONTAINER/WASTE,containers for commercial and industrial waste,CONTAINER/WASTE containers for commercial and industrial waste,OTHER,OTHER,OTHER,OTHER,1,0
CCC,INTENT TO CHEAT,intent to cheat or defraud a retailer,INTENT TO CHEAT intent to cheat or defraud a retailer,FRAUD,FRAUD OFFENSES,A,PROPERTY,1,1
CCC,LIC NOT POSTED,business license not posted,LIC NOT POSTED business license not posted,OTHER,OTHER,OTHER,OTHER,1,0
CCC,LIC RESTRIC VIO,violation of license restriction,LIC RESTRIC VIO violation of license restriction,OTHER,OTHER,OTHER,OTHER,1,0
CCC,LICENSE-NON RES,License-non resident,LICENSE-NON RES License-non resident,OTHER,OTHER,OTHER,OTHER,1,0
CCC,LICENSE-RESTRIC,license - restricted,LICENSE-RESTRIC license - restricted,OTHER,OTHER,OTHER,OTHER,1,0
CCC,LOIT NEAR CONVI,loitering near convicts after order to desist,LOIT NEAR CONVI loitering near convicts after order to desist,LOIT,TRESPASS OF PERSONAL PROPERTY,B,OTHER,1,1
CCC,MAL CONFINEMENT,malicious confinement of sane person,MAL CONFINEMENT malicious confinement of sane person,OTHER,OTHER,OTHER,OTHER,1,0
CCC,NO AUTH INTERST,"No authority interstate', 'No authority interstate - commercial carrier","NO AUTH INTERST No authority interstate', 'No authority interstate - commercial carrier",OTHER,OTHER,OTHER,OTHER,1,0
CCC,NO AUTH INTRAST,No authority intrastate,NO AUTH INTRAST No authority intrastate,OTHER,OTHER,OTHER,OTHER,1,0
CCC,SECRET COMPART,vehicles with false or secret compartments,SECRET COMPART vehicles with false or secret compartments,OTHER,OTHER,OTHER,OTHER,1,0
CCC,TEEN CLUB-LIC,teen club - license required,TEEN CLUB-LIC teen club - license required,OTHER,OTHER,OTHER,OTHER,1,0
CCC,THEFT OF SERVIC,Theft of services,THEFT OF SERVIC Theft of services,THEFT,"THEFT, LARCENY",A,PROPERTY,1,1
CCC,TRANSFER OF TIT,Transfer of title,TRANSFER OF TIT Transfer of title,OTHER,OTHER,OTHER,OTHER,1,0
CCC,DISORDERLY CON,disorderly conduct,DISORDERLY CON disorderly conduct,DISOR,DISORDERLY CONDUCT,B,OTHER,1,1
CCC,FIRE CODE - VIO,Fire code violation,FIRE CODE - VIO Fire code violation,OTHER,OTHER,OTHER,OTHER,1,0
CCC,PROB LICENSE VI,probationary licensee violation (h v),PROB LICENSE VI probationary licensee violation (h v),OTHER,OTHER,OTHER,OTHER,1,0
CCC,RECORDS VIO-CON,Records violation-contract carrier,RECORDS VIO-CON Records violation-contract carrier,OTHER,OTHER,OTHER,OTHER,1,0
CCC,CONS ALC PREMS,consumption of alcohol on retail premises,CONS ALC PREMS consumption of alcohol on retail premises,ALC TOBA,LIQUOR AND TOBACCO LAW VIOLATIONS,B,OTHER,0,1
CCC,CONSP TO COMM C,conspiracy to commit crime,CONSP TO COMM C conspiracy to commit crime,OTHER,OTHER,OTHER,OTHER,1,0
CCC,CONSPIRACY,destructive devise-attempt/conspiracy,CONSPIRACY destructive devise-attempt/conspiracy,BOMB,BOMBING OFFENSES,A,OTHER,1,1
CCC,CONSPIRACY TO D,conspiracy to defraud state,CONSPIRACY TO D conspiracy to defraud state,FRAUD,FRAUD OFFENSES,A,PROPERTY,1,1
CCC,DIS COND,disorderly conduct,DIS COND disorderly conduct,DISOR,DISORDERLY CONDUCT,B,OTHER,1,1
CCC,CON ID THEFT,attempting or conspiring to commit id theft,CON ID THEFT attempting or conspiring to commit id theft,FRAUD,FRAUD OFFENSES,A,PROPERTY,1,1
CCC,CONTEMPT COURT,"contempt of court-superior', 'contempt of court-lower court","CONTEMPT COURT contempt of court-superior', 'contempt of court-lower court",CONTEMPT,CONTEMPT OF COURT,B,OTHER,1,1
CCC,CONTEMPT OF CRT,contempt of court,CONTEMPT OF CRT contempt of court,CONTEMPT,CONTEMPT OF COURT,B,OTHER,1,1
CCC,CONTEST OF SPEE,Contest of speed,CONTEST OF SPEE Contest of speed,OTHER,OTHER,OTHER,OTHER,1,0
CCC,SELL CONT SUBST,sell of controlled substances and dangerous drugs,SELL CONT SUBST sell of controlled substances and dangerous drugs,SUBST,"DRUG/NARCOTIC OFFENSES, DRUG/NARCOTIC VIOLATIONS",A,SOCIETY,1,1
CCC,CONT SUB/FRAUD,acquiring controlled substance by fraud or theft,CONT SUB/FRAUD acquiring controlled substance by fraud or theft,SUBST,"DRUG/NARCOTIC OFFENSES, DRUG/NARCOTIC VIOLATIONS",A,SOCIETY,1,1
CCC,PROH/TRAF CNTL,operate vehicle where prohibited by traffic control,PROH/TRAF CNTL operate vehicle where prohibited by traffic control,TRAFF,TRAFFIC VIOLATIONS,A OR B,OTHER,1,0
CCC,TRADING W/CONVI,trading with convicts without permission,TRADING W/CONVI trading with convicts without permission,OTHER,OTHER,OTHER,OTHER,1,0
CCC,TRANS OF NON-CO,transaction of non-controlled substance,TRANS OF NON-CO transaction of non-controlled substance,SUBST,"DRUG/NARCOTIC OFFENSES, DRUG/NARCOTIC VIOLATIONS",A,SOCIETY,1,1
CCC,TRANS. W/O CERT,Transporting goods without certificate,TRANS. W/O CERT Transporting goods without certificate,OTHER,OTHER,OTHER,OTHER,1,0
CCC,CONTRIB TO DELI,contributing to the delinquency of a minor,CONTRIB TO DELI contributing to the delinquency of a minor,DELINQ,CONTRIBUTING TO THE DELINQUENCY OF A MINOR,A OR B,OTHER,1,1
CCC,CONTRIBUTE TO D,"contributing to delinquency, unruliness, or deprivation of a minor","CONTRIBUTE TO D contributing to delinquency, unruliness, or deprivation of a minor",DELINQ,CONTRIBUTING TO THE DELINQUENCY OF A MINOR,A OR B,OTHER,1,1
CCC,DRUG/INVLD CONT,dangerous drugs-drugs to be kept in original container,DRUG/INVLD CONT dangerous drugs-drugs to be kept in original container,DRUG,"DRUG/NARCOTIC OFFENSES, DRUG/NARCOTIC VIOLATIONS",A,SOCIETY,1,1
CCC,TRASHCAN PLACE,waste containers shall be placed to rear of building line,TRASHCAN PLACE waste containers shall be placed to rear of building line,OTHER,OTHER,OTHER,OTHER,1,0
CCC,CONV OF LEAS PR,conversion of leased personal property,CONV OF LEAS PR conversion of leased personal property,CONVERS,FRAUD OFFENSES,A,PROPERTY,1,1
CCC,CONVERSION FUND,unlawful conversion of funds,CONVERSION FUND unlawful conversion of funds,CONVERS,FRAUD OFFENSES,A,PROPERTY,1,1
